timestamp,cpu,percent,active,available,free,inactive,total,used
20-03-2020 (13:59:43.864569),1.0,60.5,10282860544,6562148352,487927808,4765540352,16619749376,9490722816
20-03-2020 (14:20:00.605428),1.99,60.1,10231312384,6623334400,265613312,5026918400,16619749376,9429573632
20-03-2020 (14:49:30.660770),2.0,60.1,10044411904,6623531008,398675968,5082595328,16619749376,9429352448
20-03-2020 (15:28:33.532941),1.0,60.1,10070716416,6630948864,258568192,5198352384,16619749376,9421950976
20-03-2020 (16:17:14.753731),1.0,60.1,10100830208,6635630592,388292608,5039214592,16619749376,9417244672
20-03-2020 (17:14:24.541994),2.0,60.1,10138394624,6633988096,259149824,5135118336,16619749376,9418878976
20-03-2020 (18:24:41.267325),1.0,60.1,10180055040,6628253696,259080192,5093810176,16619749376,9424629760
20-03-2020 (19:43:52.216097),1.0,60.2,10239197184,6619234304,200634368,5095587840,16619749376,9425223680
20-03-2020 (21:13:18.360999),1.0,59.7,9966612480,6691520512,318427136,5249982464,16619749376,9352970240
20-03-2020 (22:51:28.163831),0.0,59.7,10017685504,6705156096,233050112,5283700736,16619749376,9339338752
21-03-2020 (00:44:55.221472),0.0,59.5,10065436672,6726782976,370061312,5096689664,16619749376,9317711872
21-03-2020 (02:49:25.167024),0.0,59.5,10134134784,6729256960,525508608,4875366400,16619749376,9315237888
21-03-2020 (05:03:01.446977),1.0,59.4,10189803520,6744846336,572956672,4769894400,16619749376,9299644416
21-03-2020 (07:28:34.201500),1.0,59.3,10238205952,6766170112,809181184,4484669440,16619749376,9278316544
21-03-2020 (10:04:49.993925),11.95,59.1,10305564672,6790414336,709304320,4517761024,16619749376,9253683200
21-03-2020 (12:51:58.796885),1.0,59.2,10866495488,6788964352,194621440,4471779328,16619749376,9255587840
21-03-2020 (15:52:14.333767),0.0,59.7,10351075328,6703972352,944717824,4118622208,16619749376,9341296640
21-03-2020 (18:57:59.960977),0.99,59.5,10418704384,6724210688,163667968,4832268288,16619749376,9321041920
21-03-2020 (22:20:38.018931),1.0,59.2,8223039488,6779691008,162488320,7545729024,16619749376,9265577984
